StudentID,Password,Department,Year
22MCET001,mcet001,ECE,2nd Year
22MCET002,mcet002,EEE,3rd Year
22MCET003,mcet003,MECH,4th Year
22MCET004,mcet004,CIVIL,1st Year
22MCET005,mcet005,CSE,2nd Year
22MCET006,mcet006,ECE,3rd Year
22MCET007,mcet007,EEE,4th Year
22MCET008,mcet008,MECH,1st Year
22MCET009,mcet009,CIVIL,2nd Year
22MCET010,mcet010,CSE,3rd Year
22MCET011,mcet011,ECE,4th Year
22MCET012,mcet012,EEE,1st Year
22MCET013,mcet013,MECH,2nd Year
22MCET014,mcet014,CIVIL,3rd Year
22MCET015,mcet015,CSE,4th Year
22MCET016,mcet016,ECE,1st Year
22MCET017,mcet017,EEE,2nd Year
22MCET018,mcet018,MECH,3rd Year
22MCET019,mcet019,CIVIL,4th Year
22MCET020,mcet020,CSE,1st Year
22MCET021,mcet021,ECE,2nd Year
22MCET022,mcet022,EEE,3rd Year
22MCET023,mcet023,MECH,4th Year
22MCET024,mcet024,CIVIL,1st Year
22MCET025,mcet025,CSE,2nd Year
22MCET026,mcet026,ECE,3rd Year
22MCET027,mcet027,EEE,4th Year
22MCET028,mcet028,MECH,1st Year
22MCET029,mcet029,CIVIL,2nd Year
22MCET030,mcet030,CSE,3rd Year
22MCET031,mcet031,ECE,4th Year
22MCET032,mcet032,EEE,1st Year
22MCET033,mcet033,MECH,2nd Year
22MCET034,mcet034,CIVIL,3rd Year
22MCET035,mcet035,CSE,4th Year
22MCET036,mcet036,ECE,1st Year
22MCET037,mcet037,EEE,2nd Year
22MCET038,mcet038,MECH,3rd Year
22MCET039,mcet039,CIVIL,4th Year
22MCET040,mcet040,CSE,1st Year
22MCET041,mcet041,ECE,2nd Year
22MCET042,mcet042,EEE,3rd Year
22MCET043,mcet043,MECH,4th Year
22MCET044,mcet044,CIVIL,1st Year
22MCET045,mcet045,CSE,2nd Year
22MCET046,mcet046,ECE,3rd Year
22MCET047,mcet047,EEE,4th Year
22MCET048,mcet048,MECH,1st Year
22MCET049,mcet049,CIVIL,2nd Year
22MCET050,mcet050,CSE,3rd Year
22MCET051,mcet051,ECE,4th Year
22MCET052,mcet052,EEE,1st Year
22MCET053,mcet053,MECH,2nd Year
22MCET054,mcet054,CIVIL,3rd Year
22MCET055,mcet055,CSE,4th Year
22MCET056,mcet056,ECE,1st Year
22MCET057,mcet057,EEE,2nd Year
22MCET058,mcet058,MECH,3rd Year
22MCET059,mcet059,CIVIL,4th Year
22MCET060,mcet060,CSE,1st Year
22MCET061,mcet061,ECE,2nd Year
22MCET062,mcet062,EEE,3rd Year
22MCET063,mcet063,MECH,4th Year
22MCET064,mcet064,CIVIL,1st Year
22MCET065,mcet065,CSE,2nd Year
22MCET066,mcet066,ECE,3rd Year
22MCET067,mcet067,EEE,4th Year
22MCET068,mcet068,MECH,1st Year
22MCET069,mcet069,CIVIL,2nd Year
22MCET070,mcet070,CSE,3rd Year
22MCET071,mcet071,ECE,4th Year
22MCET072,mcet072,EEE,1st Year
22MCET073,mcet073,MECH,2nd Year
22MCET074,mcet074,CIVIL,3rd Year
22MCET075,mcet075,CSE,4th Year
22MCET076,mcet076,ECE,1st Year
22MCET077,mcet077,EEE,2nd Year
22MCET078,mcet078,MECH,3rd Year
22MCET079,mcet079,CIVIL,4th Year
22MCET080,mcet080,CSE,1st Year
22MCET081,mcet081,ECE,2nd Year
22MCET082,mcet082,EEE,3rd Year
22MCET083,mcet083,MECH,4th Year
22MCET084,mcet084,CIVIL,1st Year
22MCET085,mcet085,CSE,2nd Year
22MCET086,mcet086,ECE,3rd Year
22MCET087,mcet087,EEE,4th Year
22MCET088,mcet088,MECH,1st Year
22MCET089,mcet089,CIVIL,2nd Year
22MCET090,mcet090,CSE,3rd Year
22MCET091,mcet091,ECE,4th Year
22MCET092,mcet092,EEE,1st Year
22MCET093,mcet093,MECH,2nd Year
22MCET094,mcet094,CIVIL,3rd Year
22MCET095,mcet095,CSE,4th Year
22MCET096,mcet096,ECE,1st Year
22MCET097,mcet097,EEE,2nd Year
22MCET098,mcet098,MECH,3rd Year
22MCET099,mcet099,CIVIL,4th Year
22MCET100,mcet100,CSE,1st Year
22MCET101,mcet101,ECE,2nd Year
22MCET102,mcet102,EEE,3rd Year
22MCET103,mcet103,MECH,4th Year
22MCET104,mcet104,CIVIL,1st Year
22MCET105,mcet105,CSE,2nd Year
22MCET106,mcet106,ECE,3rd Year
22MCET107,mcet107,EEE,4th Year
22MCET108,mcet108,MECH,1st Year
22MCET109,mcet109,CIVIL,2nd Year
22MCET110,mcet110,CSE,3rd Year
22MCET111,mcet111,ECE,4th Year
22MCET112,mcet112,EEE,1st Year
22MCET113,mcet113,MECH,2nd Year
22MCET114,mcet114,CIVIL,3rd Year
22MCET115,mcet115,CSE,4th Year
22MCET116,mcet116,ECE,1st Year
22MCET117,mcet117,EEE,2nd Year
22MCET118,mcet118,MECH,3rd Year
22MCET119,mcet119,CIVIL,4th Year
22MCET120,mcet120,CSE,1st Year
22MCET121,mcet121,ECE,2nd Year
22MCET122,mcet122,EEE,3rd Year
22MCET123,mcet123,MECH,4th Year
22MCET124,mcet124,CIVIL,1st Year
22MCET125,mcet125,CSE,2nd Year
22MCET126,mcet126,ECE,3rd Year
22MCET127,mcet127,EEE,4th Year
22MCET128,mcet128,MECH,1st Year
22MCET129,mcet129,CIVIL,2nd Year
22MCET130,mcet130,CSE,3rd Year
22MCET131,mcet131,ECE,4th Year
22MCET132,mcet132,EEE,1st Year
22MCET133,mcet133,MECH,2nd Year
22MCET134,mcet134,CIVIL,3rd Year
22MCET135,mcet135,CSE,4th Year
22MCET136,mcet136,ECE,1st Year
22MCET137,mcet137,EEE,2nd Year
22MCET138,mcet138,MECH,3rd Year
22MCET139,mcet139,CIVIL,4th Year
22MCET140,mcet140,CSE,1st Year
22MCET141,mcet141,ECE,2nd Year
22MCET142,mcet142,EEE,3rd Year
22MCET143,mcet143,MECH,4th Year
22MCET144,mcet144,CIVIL,1st Year
22MCET145,mcet145,CSE,2nd Year
22MCET146,mcet146,ECE,3rd Year
22MCET147,mcet147,EEE,4th Year
22MCET148,mcet148,MECH,1st Year
22MCET149,mcet149,CIVIL,2nd Year
22MCET150,mcet150,CSE,3rd Year
22MCET151,mcet151,ECE,4th Year
22MCET152,mcet152,EEE,1st Year
22MCET153,mcet153,MECH,2nd Year
22MCET154,mcet154,CIVIL,3rd Year
22MCET155,mcet155,CSE,4th Year
22MCET156,mcet156,ECE,1st Year
22MCET157,mcet157,EEE,2nd Year
22MCET158,mcet158,MECH,3rd Year
22MCET159,mcet159,CIVIL,4th Year
22MCET160,mcet160,CSE,1st Year
22MCET161,mcet161,ECE,2nd Year
22MCET162,mcet162,EEE,3rd Year
22MCET163,mcet163,MECH,4th Year
22MCET164,mcet164,CIVIL,1st Year
22MCET165,mcet165,CSE,2nd Year
22MCET166,mcet166,ECE,3rd Year
22MCET167,mcet167,EEE,4th Year
22MCET168,mcet168,MECH,1st Year
22MCET169,mcet169,CIVIL,2nd Year
22MCET170,mcet170,CSE,3rd Year
22MCET171,mcet171,ECE,4th Year
22MCET172,mcet172,EEE,1st Year
22MCET173,mcet173,MECH,2nd Year
22MCET174,mcet174,CIVIL,3rd Year
22MCET175,mcet175,CSE,4th Year
22MCET176,mcet176,ECE,1st Year
22MCET177,mcet177,EEE,2nd Year
22MCET178,mcet178,MECH,3rd Year
22MCET179,mcet179,CIVIL,4th Year
22MCET180,mcet180,CSE,1st Year
22MCET181,mcet181,ECE,2nd Year
22MCET182,mcet182,EEE,3rd Year
22MCET183,mcet183,MECH,4th Year
22MCET184,mcet184,CIVIL,1st Year
22MCET185,mcet185,CSE,2nd Year
22MCET186,mcet186,ECE,3rd Year
22MCET187,mcet187,EEE,4th Year
22MCET188,mcet188,MECH,1st Year
22MCET189,mcet189,CIVIL,2nd Year
22MCET190,mcet190,CSE,3rd Year
22MCET191,mcet191,ECE,4th Year
22MCET192,mcet192,EEE,1st Year
22MCET193,mcet193,MECH,2nd Year
22MCET194,mcet194,CIVIL,3rd Year
22MCET195,mcet195,CSE,4th Year
22MCET196,mcet196,ECE,1st Year
22MCET197,mcet197,EEE,2nd Year
22MCET198,mcet198,MECH,3rd Year
22MCET199,mcet199,CIVIL,4th Year
22MCET200,mcet200,CSE,1st Year
